n_clicks,n_visits,amount_spent,amount_discount,days_since_registration
130,65,213.90583071577163,31.600750627904915,233
543,46,639.2230037736391,5.689174717347941,228
221,84,180.75461615086704,64.2833000293408,243
345,77,1314.029384121076,12.095727427593667,230
222,61,3869.409085656883,117.49933081401784,257
451,74,2598.1462935566806,103.64066379042382,65
379,89,597.3101022708781,190.64498669333025,91
449,90,271.14014292974343,78.03431263513528,317
671,56,929.8407243102172,333.73716392115426,152
232,67,522.7774178445117,85.91181418500176,138
298,72,1177.6878382385833,24.520590603331,291
231,59,4298.705003697359,146.69582946663257,204
177,30,866.3696456801144,204.49560377303985,246
403,30,665.6294210354312,99.16998353441484,23
476,94,349.6713799447058,130.26774619365227,92
552,61,382.528790452562,89.10940284805619,85
207,61,1521.1044378622953,69.12100094619832,99
296,141,1181.7098102393938,0.8152956832466292,265
421,85,717.3241048999604,29.678615332600657,247
600,71,549.3040505535475,93.23626359778068,207
154,125,6.210509088950977,0.9222050721869656,163
157,29,1926.5394217249336,89.83132638551535,105
160,98,694.092110222346,67.96848126958594,267
259,60,510.8828376381772,203.88235011620804,291
502,77,1026.1854878322024,251.4846216280584,343
176,72,3503.0084450767654,50.74597869050148,270
257,92,3530.473847948723,78.50234142735053,286
283,47,4706.267173074775,56.43283842591186,317
765,98,348.155522618163,90.99837322252677,335
251,30,1828.3749706170904,37.54856368809456,139
50,120,3232.11921392288,16.092675272483195,145
277,36,5690.327177578509,129.63975073145684,210
388,35,400.7386968161305,82.67017921197328,242
358,115,483.44519329306337,98.57966608960704,300
464,89,800.0,3.3986515955786567,133
203,66,5908.777681718739,98.93606834267749,225
393,92,808.1255762120308,47.15873255097821,342
405,69,633.4799150704541,2.2234524365550974,229
50,74,3872.493257040545,113.81227658453687,154
238,94,687.8855500556505,226.3242567243514,245
334,104,660.3044942125961,17.596345481023608,274
532,110,1331.6570119737755,128.1118190933869,135
320,63,327.486572108794,103.37361900372196,261
325,63,689.6575391251738,136.83630248136782,163
467,56,316.5390683112736,121.0731798069272,375
209,90,3116.4838984267576,150.67709030468097,397
377,56,224.90592511220595,78.83372264098223,127
326,106,2889.830515872052,43.03815894536616,112
291,86,1124.0362159805854,23.64588733048964,29
439,41,2082.24464995926,57.32113790992153,45
581,91,686.449652292626,128.5924231813318,195
274,117,2895.1749143743527,30.268672231081965,260
608,76,692.8595790912715,165.78574355395315,131
307,63,3408.26046070844,18.17005322996252,208
457,30,747.6718393394565,32.0708756608244,155
422,65,955.2760248094398,376.38247852202494,266
143,84,1988.6333423428164,61.36865093731524,121
386,30,800.0,39.81686051701825,380
395,98,5368.500703262713,164.86296422804486,287
468,78,420.74228950966335,115.72119978969022,55
249,93,555.3158115300838,111.21790167781154,205
125,71,2219.4621597759105,93.39740992879116,178
385,92,581.3278565027995,61.65540044506834,99
583,75,386.5015384271083,99.73018114314532,159
276,52,800.0,34.13268746666344,342
394,144,298.84508189073443,25.671916187435983,82
353,77,2715.0536395972267,108.3303734956695,192
275,111,3488.618160019739,9.611410810003216,246
351,101,333.1524778534659,72.1520949911457,76
366,77,3371.3629282827224,61.83051301915941,151
194,126,1407.1847095421317,54.11055336427546,244
589,100,199.66377565412515,46.81080073208733,290
237,115,1403.7067409432852,60.60023630431279,74
581,113,843.5986726062396,159.0582201834515,26
348,106,741.4585452525718,91.13819907351738,135
357,78,603.1908805046044,196.24051151970605,47
380,92,1355.6142297883391,183.596784628285,130
446,70,4112.6093389491925,173.72979639010128,125
412,88,255.8080548752965,97.64002698282286,397
273,93,1373.5551296421745,66.62253730447001,233
261,40,4316.228651830941,90.79976031157628,197
406,78,793.1326142813796,117.88673977316148,54
72,107,2003.6944690511195,0.6195245611578877,140
354,53,4449.133472197758,29.74149055379576,407
246,83,2431.927391723671,49.75511713283325,179
462,57,469.4679448163584,163.84816554155356,242
192,69,702.2644978384682,264.4478602313531,255
195,81,1373.1972743484584,67.22019276377358,198
401,72,440.3482631269663,157.76255284855748,241
225,142,783.6247502411347,304.4527054515401,243
52,92,1819.9826716862128,87.95598054223296,407
295,63,463.05081045949146,127.59207356465376,304
139,78,885.9106095293274,223.096173917503,100
395,107,758.6324035076657,59.25432974782595,62
477,38,789.053877709534,158.19985064820835,172
676,125,222.28031222077607,59.56602130740026,302
347,61,404.90529604137214,119.28416224528944,194
469,30,803.1625564050549,30.03582565365719,227
191,39,2285.794700427392,54.208611626152496,203
99,92,3090.683728227953,95.04930402291986,169
623,80,407.6560096641402,160.91172193441216,143
211,84,552.4046449592963,115.77831336097287,125
367,81,2881.967641595348,45.60096055660858,42
470,83,282.96431005503536,100.20137797558968,327
504,84,692.9512779599769,188.22471998368812,159
517,110,587.9241304737516,98.80289698003064,20
308,92,112.8784253648311,42.63491089088592,256
228,114,3163.5342029223225,109.41401199572104,138
323,78,157.37657967179314,60.99297531101382,73
380,139,109.3262919551256,33.03638548676197,188
388,87,319.5339921859892,53.98231199651775,319
511,105,295.2121010416298,54.65328429525535,281
361,70,699.3657836215584,79.64320724260453,246
169,58,1028.090221323123,169.22842196067293,271
285,49,3989.559862976576,65.40564111238479,281
89,47,2153.943415233972,74.62432931293704,282
300,48,5381.561674587263,264.3645300856634,221
367,63,778.3336812012343,46.41662919526299,163
130,99,848.4031218490418,101.07875176716078,278
496,126,936.2545330943426,78.97413367911189,259
303,95,4340.014182929682,19.823718453842503,287
129,37,4844.032329929023,67.60585123494353,84
480,76,174.67014206132825,31.95064827229395,183
224,24,2729.682629505461,126.19893178793282,0
288,126,569.9641794116257,119.48100877017474,363
150,39,1472.6031907856675,54.13499308565142,78
439,72,153.14059398591084,54.330141598943605,195
372,113,610.1169308764125,144.70857645940882,239
380,45,657.6342801236005,217.3768577227784,236
191,76,3786.07076970028,109.29504180724108,315
440,90,512.82045679706,188.50855899606745,60
323,124,1212.9077405546968,141.753402573044,107
649,60,215.7177600001957,64.99458881810611,193
346,117,679.1922928308475,124.62603275846412,333
177,81,554.924392795003,78.47701309191116,271
155,98,638.5886071963281,67.81127079966642,186
72,84,985.7406338278148,17.231455953802723,0
376,44,3597.8273165371024,23.97668722962118,226
474,67,671.6739721324162,141.53592361556716,98
475,92,652.552484792701,138.96723450011766,192
396,42,701.2837777665557,60.274267412022176,37
254,120,2315.085702092103,103.47663445865469,125
232,47,3590.160827927444,75.27394717164012,202
242,100,3397.7996275523974,89.63191095426444,236
397,41,325.86199452494355,64.69851376919712,90
544,137,906.7344818567772,26.70088649077583,0
265,115,788.2176222251055,180.8696485880188,129
195,73,1733.9070648354668,48.52726113951974,139
296,111,515.1071169057751,154.2352243770935,250
275,62,3008.668203164201,4.00278724780406,183
319,95,2676.6363575693995,128.22936635209496,48
173,45,488.01784260139374,83.490321064518,131
274,97,252.7295826694209,61.82084987846292,514
259,99,2227.7415967349125,13.511586723279024,160
335,111,935.4549051452124,36.95157958037477,37
140,26,4753.95556954747,89.66002572788624,100
50,96,1282.3574553139547,63.96862323786911,166
450,113,89.99406965693653,35.083619684287406,219
474,41,199.2730012479955,30.216699614084973,148
230,68,3100.9277328932103,7.933026895215128,188
368,65,775.4049845753766,180.95329463156529,239
338,57,800.0,5.578009448206408,243
146,62,328.84333741429907,12.792560367817568,182
335,62,3042.061794456031,20.348069190967472,170
310,79,26.000324955320984,1.5139236111931071,400
386,30,976.7298525805676,302.1581094194472,204
417,84,1128.5010696410632,140.82408773302367,85
368,125,252.1138165380604,7.794703020688951,321
388,89,2816.1701116514605,65.97681018863942,320
369,67,1768.4992587785146,30.2762760879053,217
395,36,832.3969907670225,56.85422976360319,88
586,43,712.4339256578413,17.0925073382009,204
177,75,2398.651906954008,5.912016453584903,367
209,99,493.4635033528504,60.36096546794747,165
597,64,1444.795771116819,379.9194733694085,167
353,97,367.6615068227069,43.63499254399164,439
78,110,2874.0061702221205,10.762555601884117,40
434,81,393.2387858744899,32.15849646454065,236
322,52,942.2576960104842,116.40418241187012,261
626,102,761.8205964628223,214.8909954151311,247
304,99,435.4305148328624,93.29214654401888,349
121,28,2358.0407410193948,95.25981483431208,48
312,22,2200.149106592645,84.3039068125982,192
374,68,4046.594204763895,199.77397690125645,29
359,115,572.9378474976493,190.051889593124,357
330,94,345.80579164465894,74.82128170003817,380
341,61,3294.131545479093,109.48691922067547,133
531,39,888.5419417531859,140.09479243894586,211
349,55,1287.7599114742738,59.84242740427341,350
368,113,2738.0785200567407,100.75039285819685,109
560,118,264.5818716054516,62.05652878142012,191
358,72,3338.8555934545125,95.29994290949344,226
373,58,4175.217267063418,171.44682563395995,430
392,41,391.3354996524381,130.71074684684703,110
205,43,2809.759334084235,70.51728936349426,62
443,105,303.9145464822702,25.366850587589237,265
476,88,457.74568287655535,22.49830649100066,40
184,60,1519.5419841794635,12.852429990843351,152
337,30,267.2194240598498,66.04158691944882,189
448,50,1026.1139544085052,270.72860341144946,0
150,82,2057.851938849881,59.75549293276939,73
276,124,223.96271603246265,3.112378144624196,173
276,69,864.2745507099735,286.747848767164,230
196,52,2697.443133133192,112.50551227965164,48
218,101,791.7377290435483,58.77056581820909,245
302,89,3611.164912603793,171.23594266065476,180
223,91,4652.592757305631,178.8333667788354,362
390,65,689.1118412639624,163.52885033593483,284
502,99,1021.0135970095768,222.05061686834824,280
541,87,928.6348453526848,14.832968961305282,130
233,47,2257.3038975281806,29.07768574684449,120
295,111,649.0295281761396,100.824628549762,203
361,97,519.1475739822448,93.6989340928472,217
223,101,659.488810114336,173.97055528507818,105
167,60,3454.2245997031864,95.47733713940906,117
293,105,211.65199354259653,20.761363814441,332
425,151,771.6377152825171,120.00359092334844,173
171,28,3334.200455165364,163.93276188146865,176
543,152,985.212302050886,235.03619810307575,245
428,95,613.6887989963592,93.56241825256954,34
346,56,781.1112465367883,308.5688666018135,201
316,128,2033.844615102287,27.97541894398435,223
288,77,2786.303954823629,110.75718947371044,304
369,51,2852.5811166597905,125.19256887352464,121
494,83,379.7172086131741,149.23626922325917,133
298,79,517.1966814850557,64.27793252401442,132
308,83,1109.066945874192,410.8344843648106,0
482,66,751.4252065713991,203.54308250184448,121
527,95,743.8325075229806,60.88283134266024,86
584,113,691.6338731581119,110.4955110637763,147
307,100,931.8560514371644,326.6823693674436,320
463,80,553.4854023445106,165.88518450756328,0
130,113,748.2120057637201,157.08777442545528,0
337,114,2335.6213114338475,57.4564862261941,36
374,119,716.4601840655869,56.21041384513367,219
288,82,183.96953674869428,4.560310978340883,217
173,108,390.01039918784,66.35719213503324,74
295,118,531.1590626040864,101.08951609701688,240
150,65,921.5896102797382,148.16218739765608,188
369,132,356.2914317137434,36.64310055853739,229
476,154,18.482681621335416,1.039508924343324,65
418,48,910.9154903791632,239.0055366387735,173
381,125,562.6432726683406,22.42947085224363,70
149,47,1386.5362903227551,57.415488147473326,297
449,116,604.5090110732391,66.89978925614683,153
178,121,83.49522752191321,25.60624369661294,191
446,108,424.22821179564727,141.11009651005148,226
348,30,189.57776744040325,1.4638752892449425,210
171,49,1992.188892970633,97.10967320010812,193
130,71,1045.33772784771,15.953361495073644,319
248,49,2457.564895360251,87.97894242317044,74
373,120,3619.16894619179,65.08633109413154,398
548,68,344.95973918471446,51.20743309791092,230
390,72,831.0067461392123,173.45294723634004,209
315,67,5031.300695652432,142.2388805504959,47
335,91,554.7190149468022,152.9557409661675,208
463,109,680.4797128596606,11.65997120894668,185
485,91,688.6681805360238,2.535860085013565,136
397,63,2264.019987474092,103.00500326395324,139
132,88,364.5973837288498,135.04795270866148,299
406,146,483.09580731013335,15.839509114300832,318
479,59,2509.947226459152,25.324733533986112,357
489,114,262.42053305770213,36.465680341345326,165
530,90,674.6511236254137,149.6593892769782,314
352,59,243.4393638116698,14.76868333628353,197
442,61,640.4122404308414,136.06060965342098,91
336,56,664.5662198850654,138.33843421606844,268
452,70,2790.957061498356,47.73505520901273,181
369,127,137.6134017294126,20.44571578651664,41
